time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002000,0.0273,0.3161,-0.3132,0.446
0.004000,-0.0155,0.2709,-0.2559,0.373
0.011000,-0.0582,0.1831,-0.2351,0.304
0.015000,-0.1088,0.0976,-0.2413,0.282
0.020000,-0.1058,0.0237,-0.2266,0.251
0.028000,-0.0601,-0.0036,-0.1542,0.166
0.031000,-0.0433,-0.0251,-0.0529,0.073
0.035000,-0.0592,-0.0757,0.0631,0.115
0.039000,-0.0644,-0.1278,0.1809,0.231
0.046000,-0.0730,-0.1413,0.2827,0.324
0.051000,-0.0805,-0.1557,0.3034,0.350
0.056000,-0.0866,-0.1306,0.3185,0.355
0.061000,-0.0829,-0.1232,0.3400,0.371
0.065000,-0.0360,-0.1272,0.3273,0.353
0.071000,0.0016,-0.1258,0.2985,0.324
0.077000,0.0280,-0.1446,0.2419,0.283
0.080000,0.0719,-0.1539,0.2170,0.276
0.086000,0.0895,-0.1735,0.2189,0.293
0.090000,0.0868,-0.1549,0.2103,0.275
0.096000,0.1007,-0.1125,0.1939,0.246
0.101000,0.1178,-0.0704,0.1945,0.238
0.107000,0.0985,-0.0204,0.1811,0.207
0.111000,0.0739,0.0196,0.1241,0.146
0.117000,0.0233,0.0343,0.0627,0.075
0.121000,0.0025,0.0264,0.0090,0.028
0.128000,0.0012,0.0062,-0.0267,0.027
0.132000,-0.0067,-0.0152,-0.0610,0.063
0.136000,-0.0223,-0.0272,-0.0737,0.082
0.145000,-0.0468,-0.0560,-0.0627,0.096
0.147000,-0.0537,-0.0483,-0.0493,0.087
0.153000,-0.0517,-0.0362,-0.0741,0.097
0.158000,-0.0669,-0.0246,-0.0999,0.123
0.162000,-0.0755,-0.0205,-0.1138,0.138
0.168000,-0.0985,0.0073,-0.1347,0.167
0.172000,-0.0850,0.0184,-0.1592,0.181
0.178000,-0.0670,0.0490,-0.2004,0.217
0.182000,-0.0338,0.0613,-0.2347,0.245
0.187000,0.0090,0.0473,-0.2370,0.242
0.192000,0.0040,0.0440,-0.2291,0.233
0.197000,0.0038,0.0087,-0.2361,0.236
0.202000,0.0142,-0.0241,-0.2019,0.204
0.209000,0.0245,-0.0355,-0.1780,0.183
0.213000,0.0176,-0.0081,-0.1833,0.184
0.220000,-0.0156,0.0196,-0.1580,0.160
0.223000,-0.0857,0.0142,-0.1486,0.172
0.229000,-0.0866,0.0434,-0.1430,0.173
0.233000,-0.0502,0.0580,-0.1317,0.152
0.239000,-0.0289,0.0260,-0.1182,0.124
0.244000,-0.0049,-0.0215,-0.1334,0.135
0.249000,0.0419,-0.0761,-0.1354,0.161
0.254000,0.0664,-0.1059,-0.1445,0.191
0.261000,0.1079,-0.1075,-0.1393,0.206
0.264000,0.1545,-0.1165,-0.1435,0.241
0.269000,0.1421,-0.0934,-0.1894,0.255
0.274000,0.1098,-0.0620,-0.1958,0.233
0.279000,0.0771,-0.0221,-0.1772,0.195
0.285000,0.1114,0.0218,-0.1923,0.223
0.289000,0.1510,0.0339,-0.2076,0.259
0.295000,0.1673,0.0379,-0.1768,0.246
0.299000,0.1848,0.0177,-0.1000,0.211
0.305000,0.2374,-0.0209,0.0084,0.239
0.310000,0.2774,-0.0378,0.0795,0.291
0.315000,0.3780,-0.0117,0.0435,0.381
0.320000,0.5656,0.0428,0.0020,0.567
0.324000,0.6412,0.0331,-0.0250,0.643
0.330000,0.5786,0.0133,-0.0660,0.583
0.336000,0.7041,-0.0544,-0.0577,0.709
0.340000,0.5596,-0.2930,0.1386,0.647
0.345000,-0.1129,-0.0329,0.1405,0.183
0.351000,-0.4226,0.4210,-0.1074,0.606
0.356000,-0.4370,0.7559,-0.5067,1.009
0.360000,-0.2657,0.8596,-0.9040,1.275
0.365000,-0.1081,0.3982,-1.1278,1.201
0.371000,0.3828,0.3581,-0.8792,1.024
0.378000,0.8182,0.3265,-0.2266,0.910
0.380000,0.9785,0.3210,-0.0411,1.031
0.386000,1.0351,0.3496,0.0087,1.093
0.390000,0.9662,0.3714,0.0532,1.036
0.396000,0.8427,0.3813,0.1475,0.937
0.401000,0.7250,0.3660,0.2212,0.842
0.406000,0.6731,0.3420,0.2651,0.800
0.411000,0.7279,0.3462,0.3079,0.863
0.417000,0.8487,0.3470,0.3721,0.990
0.422000,0.9396,0.3676,0.4554,1.107
0.427000,1.0109,0.4169,0.5615,1.229
0.432000,1.0588,0.4435,0.6940,1.341
0.436000,0.9883,0.4324,0.7271,1.301
0.441000,0.8775,0.3806,0.6044,1.131
0.447000,0.6920,0.3018,0.4173,0.863
0.452000,0.5020,0.2621,0.2252,0.609
0.456000,0.2740,0.2093,0.0446,0.348
0.462000,0.0166,0.0833,-0.0476,0.097
0.467000,-0.2313,-0.0795,-0.0852,0.259
0.473000,-0.3834,-0.2003,-0.2042,0.478
0.479000,-0.4436,-0.2849,-0.3510,0.633
0.483000,-0.4336,-0.3346,-0.4614,0.716
0.487000,-0.3828,-0.3425,-0.4826,0.705
0.497000,-0.2788,-0.3103,-0.4635,0.624
0.498000,-0.1871,-0.2441,-0.4212,0.522
0.502000,-0.1150,-0.1635,-0.4353,0.479
0.507000,-0.0306,-0.0675,-0.4899,0.496
0.514000,0.0522,0.0152,-0.5530,0.556
0.517000,0.1392,0.1052,-0.6434,0.667
0.522000,0.1994,0.1821,-0.7125,0.762
0.528000,0.2749,0.2602,-0.6782,0.777
0.533000,0.3256,0.3024,-0.5850,0.735
0.538000,0.3440,0.2732,-0.5034,0.668
0.545000,0.3771,0.2062,-0.4176,0.599
0.548000,0.3986,0.1279,-0.3761,0.563
0.554000,0.3969,0.0206,-0.3824,0.552
0.564000,0.3636,-0.0976,-0.4680,0.601
0.566000,0.2710,-0.1967,-0.5733,0.664
0.569000,0.1378,-0.2257,-0.6841,0.733
0.573000,-0.0845,-0.1914,-0.7173,0.747
0.581000,-0.3271,-0.1527,-0.7103,0.797
0.585000,-0.4855,-0.1267,-0.6765,0.842
0.589000,-0.5571,-0.1180,-0.6292,0.849
0.596000,-0.5553,-0.0883,-0.5863,0.812
0.599000,-0.4777,-0.0616,-0.5653,0.743
0.604000,-0.3482,-0.0408,-0.5591,0.660
0.618000,-0.1584,-0.0042,-0.5628,0.585
0.619000,0.0229,0.0543,-0.6023,0.605
0.620000,0.1579,0.0968,-0.6645,0.690
0.624000,0.2573,0.1471,-0.7729,0.828
0.631000,0.3257,0.2231,-0.8751,0.960
0.635000,0.3785,0.3055,-0.9106,1.032
0.639000,0.4530,0.3747,-0.8714,1.051
0.647000,0.4648,0.4154,-0.8269,1.036
0.650000,0.5102,0.4132,-0.7712,1.013
0.655000,0.5442,0.4066,-0.7149,0.986
0.662000,0.5527,0.3788,-0.6699,0.947
0.665000,0.5221,0.3027,-0.6489,0.886
0.670000,0.4819,0.2395,-0.7068,0.888
0.677000,0.4436,0.1750,-0.8037,0.935
0.680000,0.3939,0.1037,-0.9063,0.994
0.685000,0.3293,0.0709,-0.9744,1.031
0.691000,0.2421,0.0695,-0.9964,1.028
0.698000,0.1314,0.0624,-0.9974,1.008
0.701000,0.0723,0.0495,-1.0049,1.009
0.706000,0.0760,0.0355,-1.0236,1.027
0.712000,0.1098,0.0251,-1.0285,1.035
0.716000,0.1819,0.0131,-0.9992,1.016
0.721000,0.2862,-0.0361,-0.9122,0.957
0.729000,0.4393,-0.0660,-0.7986,0.914
0.734000,0.5594,-0.1031,-0.6191,0.841
0.737000,0.6523,-0.1410,-0.3904,0.773
0.743000,0.7227,-0.1492,-0.2241,0.771
0.749000,0.7332,-0.2006,-0.1173,0.769
0.752000,0.7223,-0.2380,-0.1643,0.778
0.756000,0.6908,-0.2600,-0.3227,0.806
0.762000,0.6499,-0.2579,-0.5811,0.909
0.767000,0.6203,-0.2527,-0.9107,1.130
0.771000,0.6015,-0.2248,-1.2364,1.393
0.781000,0.5962,-0.1820,-1.5208,1.644
0.783000,0.5842,-0.1001,-1.7477,1.845
0.787000,0.5934,-0.0075,-1.9613,2.049
0.792000,0.5706,0.0534,-2.0788,2.156
0.800000,0.5496,0.0732,-2.1370,2.208
0.802000,0.5354,0.0119,-2.1827,2.247
0.807000,0.4667,-0.1164,-2.2395,2.291
0.819000,0.4161,-0.2353,-2.3122,2.361
0.821000,0.3771,-0.3607,-2.3613,2.418
0.822000,0.3197,-0.4309,-2.3388,2.400
0.829000,0.2879,-0.4835,-2.1969,2.268
0.833000,0.3017,-0.4706,-1.9304,2.010
0.838000,0.3413,-0.4609,-1.6179,1.717
0.844000,0.4195,-0.4551,-1.4024,1.533
0.848000,0.4876,-0.4592,-1.2945,1.458
0.853000,0.5648,-0.4422,-1.3110,1.494
0.858000,0.6149,-0.4481,-1.4577,1.644
0.864000,0.6375,-0.4696,-1.6688,1.847
0.869000,0.6738,-0.4285,-1.9303,2.089
0.873000,0.6869,-0.3367,-2.2172,2.345
0.880000,0.6586,-0.2347,-2.4770,2.574
0.884000,0.6352,-0.1484,-2.6668,2.745
0.889000,0.5782,-0.1052,-2.8610,2.921
0.899000,0.4703,-0.1435,-3.0369,3.076
0.901000,0.3812,-0.2275,-3.1169,3.148
0.904000,0.2547,-0.2988,-3.1260,3.151
0.909000,0.1471,-0.3849,-3.0919,3.119
0.914000,0.0526,-0.4701,-3.0218,3.059
0.919000,-0.0127,-0.5086,-2.9419,2.986
0.924000,-0.0400,-0.5385,-2.8524,2.903
0.932000,-0.0650,-0.5427,-2.7843,2.837
0.935000,-0.0232,-0.5134,-2.7462,2.794
0.939000,0.0295,-0.4407,-2.7144,2.750
0.946000,0.0874,-0.3718,-2.6888,2.716
0.950000,0.1161,-0.3300,-2.6423,2.665
0.954000,0.0873,-0.3267,-2.5881,2.610
0.962000,-0.0192,-0.3161,-2.4772,2.497
0.965000,-0.1253,-0.3220,-2.2908,2.317
0.970000,-0.2079,-0.3242,-2.0072,2.044
0.975000,-0.2804,-0.3615,-1.6239,1.687
0.983000,-0.3009,-0.4047,-1.1634,1.268
0.986000,-0.2331,-0.4369,-0.5933,0.773
0.991000,-0.1653,-0.4511,0.0356,0.482
0.996000,-0.1165,-0.4710,0.6137,0.782
1.003000,-0.1211,-0.5403,0.9881,1.133
1.006000,-0.1628,-0.5913,1.1532,1.306
1.017000,-0.2382,-0.5751,1.1344,1.294
1.019000,-0.2823,-0.5409,0.9747,1.150
1.023000,-0.3021,-0.4967,0.7328,0.935
1.030000,-0.3512,-0.4274,0.4253,0.698
1.031000,-0.3720,-0.3216,0.0815,0.498
1.036000,-0.3833,-0.1795,-0.2520,0.493
1.041000,-0.4239,-0.0145,-0.5065,0.661
