time,ax,ay,az,atotal
0.005090951919555664,0.16,-0.37,-0.02,0.4
0.012681961059570312,0.11,-0.33,0.13,0.37
0.024312973022460938,0.01,-0.03,0.28,0.28
0.03338503837585449,-0.12,0.06,0.38,0.4
0.04374289512634277,-0.08,0.01,0.5,0.5
0.05263090133666992,-0.01,-0.06,0.48,0.48
0.06592297554016113,0.02,-0.05,0.29,0.29
0.07333898544311523,0.0,0.0,0.02,0.02
0.08404898643493652,-0.06,0.08,-0.23,0.25
0.09409308433532715,-0.06,0.14,-0.4,0.42
0.10381293296813965,-0.05,0.19,-0.44,0.48
0.11283707618713379,-0.02,0.25,-0.3,0.39
0.12459993362426758,0.01,0.27,-0.14,0.3
0.1342470645904541,0.06,0.23,-0.02,0.23
0.14378690719604492,0.06,0.18,0.03,0.19
0.15323710441589355,0.0,0.12,0.02,0.12
0.16614079475402832,-0.05,0.1,0.01,0.11
0.1737978458404541,-0.07,0.1,0.02,0.12
0.18357110023498535,-0.08,0.11,0.07,0.15
0.19460177421569824,-0.06,0.09,0.15,0.18
0.20355582237243652,-0.02,0.03,0.19,0.19
0.2124779224395752,0.05,-0.06,0.15,0.16
0.22479701042175293,0.06,-0.06,0.12,0.14
0.23307490348815918,0.05,0.0,0.07,0.08
0.2436678409576416,0.06,0.03,0.08,0.1
0.252025842666626,0.04,0.05,0.12,0.13
0.26654696464538574,0.05,0.04,0.15,0.16
0.27390289306640625,0.06,0.04,0.11,0.13
0.28318095207214355,0.08,0.04,0.07,0.11
0.29425883293151855,0.11,0.06,0.04,0.13
0.30343198776245117,0.08,0.09,0.06,0.13
0.31259608268737793,0.01,0.12,0.14,0.18
0.3243257999420166,-0.05,0.12,0.14,0.19
0.33330798149108887,-0.01,0.09,0.14,0.16
0.343613862991333,0.04,0.06,0.18,0.19
0.35245299339294434,0.05,0.04,0.24,0.24
0.3658177852630615,0.05,0.06,0.27,0.28
0.3734128475189209,0.04,0.1,0.22,0.24
0.38389086723327637,0.02,0.13,0.19,0.23
0.39418578147888184,0.0,0.12,0.15,0.19
0.40352392196655273,0.0,0.1,0.1,0.14
0.41290998458862305,0.03,0.1,0.1,0.14
0.4240419864654541,0.04,0.1,0.09,0.14
0.43367505073547363,0.02,0.08,0.1,0.12
0.44386792182922363,0.01,0.06,0.1,0.11
0.4528939723968506,-0.01,0.07,0.14,0.15
0.4655900001525879,-0.02,0.08,0.15,0.17
0.4728729724884033,-0.04,0.08,0.13,0.15
0.48323988914489746,-0.01,0.06,0.07,0.09
0.49433112144470215,0.02,0.05,0.01,0.05
0.5033299922943115,0.02,0.06,0.03,0.06
0.5125939846038818,-0.02,0.03,0.06,0.06
0.5246179103851318,0.0,-0.02,0.06,0.06
0.5331928730010986,0.05,-0.06,0.11,0.13
0.5436398983001709,0.08,-0.05,0.11,0.14
0.5524299144744873,0.06,0.0,0.07,0.09
0.5657129287719727,0.01,0.01,-0.02,0.02
0.5730998516082764,-0.06,-0.01,-0.06,0.08
0.583392858505249,-0.09,0.0,-0.01,0.09
0.5944340229034424,-0.12,0.05,0.09,0.15
