time,gFx,gFy,gFz,gFTotal
0.0032968521118164062,0.051,-0.385,-0.997,1.07
0.020893096923828125,0.043,-0.391,-0.966,1.043
0.02378702163696289,0.028,-0.418,-0.918,1.009
0.03350210189819336,0.034,-0.401,-0.855,0.945
0.0435791015625,0.04,-0.369,-0.839,0.917
0.05485391616821289,0.013,-0.42,-0.88,0.975
0.0650789737701416,-0.007,-0.44,-0.876,0.98
0.07620787620544434,-0.011,-0.438,-0.907,1.007
0.08495593070983887,-0.008,-0.42,-0.901,0.994
0.09478497505187988,-0.008,-0.401,-0.881,0.968
0.10548996925354004,-0.006,-0.396,-0.873,0.959
0.12736177444458008,0.004,-0.438,-0.845,0.952
0.12857294082641602,0.004,-0.438,-0.845,0.952
0.13378596305847168,0.011,-0.414,-0.909,0.999
0.14395904541015625,0.019,-0.415,-0.919,1.009
0.1557929515838623,0.024,-0.44,-0.895,0.998
0.16418790817260742,0.03,-0.442,-0.883,0.988
0.17568683624267578,0.044,-0.441,-0.883,0.988
0.18547892570495605,0.069,-0.438,-0.906,1.009
0.1953568458557129,0.112,-0.416,-0.948,1.041
0.20558691024780273,0.204,-0.402,-0.946,1.048
0.22405195236206055,0.257,-0.48,-0.99,1.13
0.22614288330078125,0.257,-0.48,-0.99,1.13
0.23406291007995605,0.283,-0.456,-0.998,1.133
0.24438190460205078,0.325,-0.427,-0.932,1.075
0.25430893898010254,0.344,-0.383,-0.852,0.995
0.2662968635559082,0.346,-0.331,-0.825,0.954
0.27631497383117676,0.349,-0.317,-0.799,0.928
0.28542494773864746,0.37,-0.327,-0.792,0.933
0.2947518825531006,0.432,-0.303,-0.824,0.978
0.30628490447998047,0.551,-0.169,-0.828,1.009
0.325808048248291,0.462,-0.367,-0.812,1.004
0.3270599842071533,0.462,-0.367,-0.812,1.004
0.3345339298248291,0.523,-0.37,-0.626,0.896
0.34498095512390137,0.624,-0.303,-0.451,0.827
0.358043909072876,0.722,-0.253,-0.419,0.872
0.3661918640136719,0.839,-0.169,-0.388,0.94
0.3776099681854248,0.926,-0.118,-0.344,0.995
0.38508176803588867,0.952,-0.112,-0.298,1.004
0.3967759609222412,1.054,-0.068,-0.277,1.092
0.40667200088500977,0.993,-0.113,-0.225,1.024
0.42612791061401367,0.919,-0.142,-0.701,1.165
0.42739009857177734,0.919,-0.142,-0.701,1.165
0.4349808692932129,0.866,-0.053,-0.72,1.127
0.4450497627258301,0.739,-0.133,-0.635,0.983
0.45847487449645996,0.671,-0.171,-0.516,0.864
0.46651506423950195,0.624,-0.191,-0.446,0.79
0.47687482833862305,0.568,-0.229,-0.501,0.791
0.4862689971923828,0.523,-0.267,-0.704,0.917
0.4967508316040039,0.403,-0.28,-0.965,1.083
0.5068068504333496,0.206,-0.249,-1.115,1.161
0.5290789604187012,-0.088,-0.142,-1.329,1.339
0.5303139686584473,-0.088,-0.142,-1.329,1.339
0.5353341102600098,-0.159,-0.119,-1.18,1.197
0.5456099510192871,-0.19,-0.107,-1.088,1.11
0.5591549873352051,-0.243,-0.116,-0.979,1.015
0.5668148994445801,-0.257,-0.084,-0.931,0.969
0.5774168968200684,-0.224,-0.067,-0.922,0.951
0.5866348743438721,-0.162,-0.14,-0.995,1.018
0.5971529483795166,-0.1,-0.028,-0.844,0.85
0.6072430610656738,-0.019,-0.018,-0.778,0.778
0.6285359859466553,-0.163,-0.271,-0.833,0.891
0.629788875579834,-0.163,-0.271,-0.833,0.891
0.6356668472290039,-0.132,-0.283,-0.763,0.824
0.6460518836975098,-0.119,-0.279,-0.823,0.877
0.6561679840087891,-0.073,-0.315,-0.92,0.975
0.6679368019104004,-0.008,-0.361,-1.001,1.064
0.6776468753814697,0.043,-0.427,-1.093,1.174
0.6872658729553223,0.067,-0.557,-1.192,1.317
0.6974139213562012,0.051,-0.787,-1.304,1.524
0.7076888084411621,0.069,-1.048,-1.431,1.775
0.7285048961639404,0.384,-1.515,-1.929,2.483
0.7297298908233643,0.384,-1.515,-1.929,2.483
0.7360267639160156,0.696,-1.471,-2.842,3.275
0.7464239597320557,1.059,-1.414,-4.101,4.465
0.7591018676757812,1.457,-1.297,-4.98,5.348
0.7685427665710449,1.855,-1.357,-4.932,5.441
0.7785699367523193,2.132,-1.584,-4.311,5.064
0.7899808883666992,2.276,-1.683,-3.563,4.551
0.7966179847717285,2.235,-1.701,-3.115,4.194
0.811755895614624,2.282,-1.518,-3.127,4.158
0.8245739936828613,2.523,-1.253,-3.549,4.531
0.826836109161377,2.918,-1.054,-4.017,5.076
0.8369350433349609,3.21,-0.888,-4.107,5.288
0.8467369079589844,3.28,-0.748,-3.856,5.117
0.8608949184417725,3.077,-0.551,-3.393,4.613
0.8692259788513184,2.712,-0.347,-2.739,3.87
0.8799848556518555,2.304,-0.122,-2.043,3.082
0.8871240615844727,1.933,0.037,-1.418,2.398
0.8979640007019043,1.551,0.119,-0.877,1.786
0.9085278511047363,1.226,0.286,-0.407,1.323
0.9308600425720215,0.542,0.777,0.291,0.991
0.93212890625,0.542,0.777,0.291,0.991
0.9369659423828125,0.345,0.899,0.188,0.981
0.9475908279418945,0.173,0.88,0.033,0.897
0.9603848457336426,0.006,0.93,0.15,0.942
0.9674978256225586,-0.143,0.889,0.429,0.997
0.9799370765686035,-0.308,0.78,0.795,1.156
0.9888629913330078,-0.499,0.702,1.267,1.532
0.998654842376709,-0.682,0.711,1.554,1.84
1.01072096824646,-0.649,1.147,1.447,1.957
1.0320489406585693,-0.548,1.388,-0.108,1.496
1.0333380699157715,-0.548,1.388,-0.108,1.496
1.0373477935791016,-0.657,1.142,-0.379,1.371
1.0474789142608643,-0.714,0.865,-0.044,1.122
1.0580708980560303,-0.501,0.57,0.561,0.944
1.0689020156860352,-0.211,0.082,1.007,1.032
1.0777859687805176,-0.007,-0.367,1.032,1.095
1.0895028114318848,0.238,-0.62,0.812,1.049
1.099085807800293,0.483,-0.719,0.327,0.926
1.1093487739562988,0.772,-0.621,-0.266,1.026
1.1293199062347412,1.025,-0.422,-1.422,1.803
1.1306390762329102,1.025,-0.422,-1.422,1.803
1.1377458572387695,0.912,-0.425,-1.591,1.882
1.1481459140777588,0.678,-0.473,-1.321,1.558
1.1610870361328125,0.448,-0.45,-0.795,1.017
1.1692447662353516,0.247,-0.424,-0.271,0.561
1.1793580055236816,0.086,-0.413,0.107,0.435
1.1895999908447266,-0.007,-0.389,0.284,0.482
1.1992909908294678,-0.048,-0.373,0.288,0.474
1.2097687721252441,-0.055,-0.373,0.196,0.425
1.2284598350524902,-0.073,-0.24,-0.111,0.274
1.229759931564331,-0.073,-0.24,-0.111,0.274
1.2381658554077148,-0.103,-0.163,-0.258,0.322
1.2485859394073486,-0.131,-0.192,-0.308,0.386
1.2602849006652832,-0.122,-0.268,-0.268,0.398
1.2699179649353027,-0.086,-0.329,-0.201,0.395
1.2798049449920654,-0.044,-0.374,-0.159,0.409
1.29007887840271,0.004,-0.404,-0.142,0.428
1.2998309135437012,0.047,-0.42,-0.154,0.45
1.3099579811096191,0.077,-0.423,-0.191,0.47
1.3333020210266113,0.075,-0.372,-0.241,0.45
1.334486961364746,0.075,-0.372,-0.241,0.45
1.338871955871582,0.046,-0.312,-0.259,0.408
1.3489899635314941,0.03,-0.231,-0.267,0.354
1.359130859375,-0.02,-0.137,-0.254,0.289
1.3702349662780762,-0.089,-0.075,-0.208,0.238
1.3800020217895508,-0.139,-0.042,-0.178,0.23
1.3905138969421387,-0.17,-0.031,-0.136,0.22
1.4002389907836914,-0.182,-0.039,-0.073,0.2
1.4104599952697754,-0.184,-0.043,-0.022,0.19
1.4324760437011719,-0.131,-0.053,-0.028,0.144
1.4337458610534668,-0.131,-0.053,-0.028,0.144
1.4388580322265625,-0.101,-0.093,-0.074,0.156
1.4494538307189941,-0.067,-0.156,-0.061,0.18
1.461958885192871,-0.053,-0.21,-0.043,0.221
1.4706618785858154,-0.072,-0.272,-0.06,0.288
1.4804267883300781,-0.067,-0.433,-0.136,0.459
1.4894239902496338,0.013,-0.719,-0.245,0.76
1.501025915145874,0.133,-1.139,-0.399,1.214
1.51082181930542,0.191,-1.7,-0.451,1.769
1.5346570014953613,0.576,-2.183,-0.121,2.261
1.535964012145996,0.576,-2.183,-0.121,2.261
1.539571762084961,0.807,-2.305,-0.53,2.499
1.549889087677002,0.986,-2.409,-1.271,2.897
1.5621559619903564,1.163,-2.18,-1.805,3.06
1.5715489387512207,1.178,-1.928,-2.026,3.035
1.5797200202941895,0.95,-1.89,-1.987,2.902
1.5917110443115234,0.672,-1.885,-1.722,2.64
1.601125955581665,0.477,-1.779,-1.396,2.311
1.6112399101257324,0.371,-1.61,-1.227,2.058
1.6349658966064453,0.26,-1.553,-1.428,2.126
1.6361908912658691,0.26,-1.553,-1.428,2.126
1.6398777961730957,0.362,-1.606,-1.656,2.335
1.6502289772033691,0.537,-1.665,-1.791,2.504
1.6602699756622314,0.651,-1.747,-1.801,2.592
1.6716179847717285,0.714,-1.787,-1.65,2.535
1.6812090873718262,0.74,-1.796,-1.453,2.426
1.6914730072021484,0.754,-1.806,-1.36,2.383
1.7013649940490723,0.818,-1.84,-1.373,2.437
1.7114410400390625,0.891,-1.875,-1.425,2.518
1.733771800994873,0.988,-1.55,-1.73,2.524
1.7350540161132812,0.988,-1.55,-1.73,2.524
1.740333080291748,0.971,-1.32,-1.842,2.465
1.750636100769043,0.972,-1.24,-1.743,2.35
1.7621488571166992,1.004,-1.275,-1.55,2.244
1.7716128826141357,0.967,-1.289,-1.298,2.069
1.7818288803100586,0.875,-1.223,-1.011,1.812
1.7918038368225098,0.748,-1.116,-0.833,1.581
1.801805019378662,0.602,-1.017,-0.728,1.388
1.811858892440796,0.473,-0.928,-0.626,1.215
1.8297169208526611,0.372,-0.837,-0.555,1.071
1.8318557739257812,0.281,-0.732,-0.509,0.935
1.840946912765503,0.21,-0.619,-0.478,0.81
1.8510608673095703,0.191,-0.525,-0.471,0.731
1.8623228073120117,0.215,-0.511,-0.448,0.713
1.8723669052124023,0.222,-0.544,-0.394,0.707
1.8819739818572998,0.212,-0.529,-0.344,0.666
1.8924739360809326,0.169,-0.468,-0.282,0.572
1.9019150733947754,0.1,-0.402,-0.21,0.464
1.912466049194336,0.027,-0.347,-0.169,0.387
1.9333229064941406,-0.046,-0.277,-0.122,0.306
1.934575080871582,-0.046,-0.277,-0.122,0.306
1.9412040710449219,-0.031,-0.266,-0.13,0.298
1.951791763305664,0.002,-0.27,-0.172,0.32
1.9647948741912842,0.056,-0.297,-0.239,0.385
1.9714360237121582,0.122,-0.349,-0.304,0.479
1.983062982559204,0.177,-0.425,-0.381,0.598
1.9929389953613281,0.212,-0.503,-0.45,0.707
2.0025949478149414,0.218,-0.564,-0.458,0.759
2.0128769874572754,0.184,-0.568,-0.364,0.699
2.037508964538574,0.108,-0.539,-0.201,0.585
2.0387988090515137,0.108,-0.539,-0.201,0.585
2.0416109561920166,0.094,-0.552,-0.184,0.589
2.051778793334961,0.096,-0.571,-0.196,0.611
2.06312894821167,0.111,-0.592,-0.225,0.643
2.073042869567871,0.132,-0.594,-0.287,0.673
2.082695960998535,0.148,-0.57,-0.37,0.695
2.0932259559631348,0.198,-0.55,-0.588,0.829
2.1027538776397705,0.241,-0.599,-0.66,0.923
2.113213062286377,0.159,-0.552,-0.577,0.814
2.1342978477478027,0.032,-0.534,-0.588,0.795
2.1355268955230713,0.032,-0.534,-0.588,0.795
2.1418991088867188,0.035,-0.576,-0.555,0.801
2.1523890495300293,0.033,-0.625,-0.493,0.797
2.1648387908935547,0.023,-0.671,-0.422,0.793
2.174004077911377,0.019,-0.725,-0.331,0.797
2.1834828853607178,0.021,-0.769,-0.273,0.816
2.193692922592163,0.033,-0.79,-0.289,0.842
2.203361988067627,0.044,-0.799,-0.372,0.882
2.213176965713501,0.044,-0.809,-0.443,0.923
2.234344959259033,0.051,-0.807,-0.557,0.982
2.2356059551239014,0.051,-0.807,-0.557,0.982
2.24240779876709,0.047,-0.82,-0.577,1.004
2.252668857574463,0.047,-0.832,-0.541,0.994
2.265573024749756,0.045,-0.841,-0.494,0.976
2.272665023803711,0.053,-0.852,-0.451,0.965
2.2843170166015625,0.079,-0.862,-0.426,0.965
2.294095993041992,0.109,-0.876,-0.446,0.989
2.3037939071655273,0.134,-0.888,-0.484,1.02
2.3139519691467285,0.177,-0.903,-0.547,1.07
2.338918924331665,0.243,-0.915,-0.655,1.151
2.340198040008545,0.243,-0.915,-0.655,1.151
2.3427977561950684,0.223,-0.858,-0.665,1.108
2.3531649112701416,0.176,-0.811,-0.654,1.057
2.3628740310668945,0.135,-0.789,-0.601,1.001
2.374415874481201,0.1,-0.795,-0.548,0.971
2.384202003479004,0.09,-0.833,-0.575,1.016
2.3931517601013184,0.092,-0.871,-0.551,1.035
2.4032440185546875,0.101,-0.871,-0.489,1.004
2.4147520065307617,0.093,-0.878,-0.452,0.992
2.437417984008789,0.032,-0.866,-0.431,0.968
2.4387049674987793,0.032,-0.866,-0.431,0.968
2.4431328773498535,0.003,-0.857,-0.454,0.97
2.453354835510254,-0.008,-0.862,-0.484,0.989
2.4633898735046387,0.008,-0.877,-0.492,1.006
2.47357177734375,0.03,-0.895,-0.492,1.022
2.4860877990722656,0.047,-0.904,-0.496,1.032
2.494999885559082,0.057,-0.899,-0.501,1.031
2.50449275970459,0.058,-0.884,-0.508,1.021
2.513511896133423,0.058,-0.875,-0.513,1.016
2.5372610092163086,0.066,-0.88,-0.497,1.013
2.5385708808898926,0.066,-0.88,-0.497,1.013
2.543466091156006,0.066,-0.862,-0.48,0.989
2.5537538528442383,0.063,-0.84,-0.488,0.974
2.565433979034424,0.066,-0.829,-0.509,0.975
2.575273036956787,0.067,-0.826,-0.537,0.987
2.5851709842681885,0.07,-0.824,-0.552,0.994
2.595059871673584,0.068,-0.824,-0.555,0.996
2.605233907699585,0.055,-0.827,-0.536,0.987
2.6149849891662598,0.038,-0.823,-0.502,0.965
2.635894775390625,0.01,-0.811,-0.462,0.933
2.637204885482788,0.01,-0.811,-0.462,0.933
2.643932819366455,0.005,-0.814,-0.453,0.932
2.6542749404907227,0.011,-0.826,-0.455,0.943
2.6668999195098877,0.018,-0.842,-0.466,0.963
2.6757678985595703,0.021,-0.848,-0.484,0.977
2.6852099895477295,0.026,-0.856,-0.494,0.989
2.6956777572631836,0.036,-0.862,-0.5,0.997
2.7057437896728516,0.043,-0.867,-0.51,1.007
2.7154979705810547,0.045,-0.872,-0.514,1.013
2.738554000854492,0.06,-0.887,-0.514,1.027
2.739816904067993,0.06,-0.887,-0.514,1.027
